snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Enteritis caused by radiation (disorder),73817000,723883002,Duodenitis caused by ionizing radiation (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,246075003|Causative agent (attribute)| = 125576007|Ionizing radiation (physical force)|} AND [1..1]{42752001|Due to (attribute)| = 122866006|Exposure to ionizing radiation (event)|} AND [1..1]{116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|})&limit=7000",6
Prolapse of female genital organs (disorder),73998008,15932581000119107,Prolapse of right fallopian tube (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127882003|Female genital organ structure (body structure)|,116676008|Associated morphology (attribute)| = 29696001|Prolapse (morphologic abnormality)|})&limit=7000",58
Orf virus disease (disorder),74050005,74050005,Orf virus disease (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 64753004|Orf virus (organism)|})&limit=7000",1
Acromegaly (disorder),74107003,789187001,X-linked acrogigantism due to Xq26 microduplication (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 35188005|Hormone production, function (observable entity)|,363713009|Has interpretation (attribute)| = 35105006|Increased (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<52618001|Structure of pars distalis of pituitary (body structure)|})&limit=7000",35
Appendicitis (disorder),74400008,418171008,Complicated appendicitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<66754008|Appendix structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",10
Pyoderma gangrenosum (disorder),74578003,785724007,"Pyoderma gangrenosum, acne, suppurative hidradenitis syndrome (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 41034006|Suppurative inflammation (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 47351003|Infiltration (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 30630007|Neutrophil count (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",5
Urticaria caused by cold (disorder),74774004,773646003,Phospholipase C gamma 2 associated antibody deficiency and immune dysregulation (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 64305001|Urticaria (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,246075003|Causative agent (attribute)| = 285686007|Low temperature (physical force)|})&limit=7000",8
Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,75053002,Acute febrile mucocutaneous lymph node syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39938006|Structure of medium size blood vessel (organ) (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<81105003|Cervical lymph node structure (body structure)|} AND [1..1]{47429007|Associated with (attribute)| = 386661006|Fever (finding)|} AND [1..1]{363698007|Finding site (attribute)| = <<281157001|Systemic vascular structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<51114001|Arterial structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",1
Congenital anomaly of mitral valve (disorder),75372006,41371000119100,Shone complex (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<91134007|Mitral valve structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",10
Pancreatitis (disorder),75694006,878822006,Ischemic pancreatitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<15776009|Pancreatic structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",17
Brucellosis (disorder),75702008,413716003,Brucellosis uveitis (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 26250004|Genus Brucella (organism)|})&limit=7000",5
Spinal stenosis (disorder),76107001,100511000119108,Myelopathy co-occurrent and due to spinal stenosis of thoracic region (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<61853006|Spinal canal structure (body structure)|,116676008|Associated morphology (attribute)| = 415582006|Stenosis (morphologic abnormality)|})&limit=7000",30
Syphilis (disorder),76272004,15679561000119109,Iritis of left eye caused by Treponema pallidum (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 72904005|Treponema pallidum (organism)|})&limit=7000",204
Dermatographic urticaria (disorder),7632005,7632005,Dermatographic urticaria (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 64305001|Urticaria (morphologic abnormality)|,246075003|Causative agent (attribute)| = 78621006|Physical force (physical force)|})&limit=7000",1
Total visual and total hearing impairment (disorder),765178008,765178008,Total visual and total hearing impairment (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<721985003|Structure of right visual system (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 47078008|Hearing, function (observable entity)|} AND [1..1]{363698007|Finding site (attribute)| = <<91159003|Structure of auditory system (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<721984004|Structure of left visual system (body structure)|})&limit=7000",1
Autosomal dominant polycystic kidney disease (disorder),765330003,773737004,Nephrocystin 3-related Meckel-like syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|,116676008|Associated morphology (attribute)| = 3679006|Polycystic change (morphologic abnormality)|})&limit=7000",17
22q11.2 deletion syndrome (disorder),767263007,767263007,22q11.2 deletion syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<79229009|Chromosome pair 22 (cell structure)|,116676008|Associated morphology (attribute)| = 737546002|Deletion 22q11.2 (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<79229009|Chromosome pair 22 (cell structure)|,116676008|Associated morphology (attribute)| = 64329008|Deletion of long arm (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",1
Pineoblastoma (disorder),767448007,767448007,Pineoblastoma (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<45793000|Pineal structure (body structure)|,116676008|Associated morphology (attribute)| = 31671006|Pineoblastoma (morphologic abnormality)|})&limit=7000",1
Angelman syndrome (disorder),76880004,782945001,"Ophthalmoplegia, intellectual disability, lingua scrotalis syndrome (disorder)","(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<89545001|Face structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<25087005|Structure of nervous system (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",17
Tetanus (disorder),76902006,609493004,Induced termination of pregnancy complicated by tetanus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<25087005|Structure of nervous system (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 30917009|Clostridium tetani (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<25087005|Structure of nervous system (body structure)|,246075003|Causative agent (attribute)| = 26159005|Clostridium tetani toxin (substance)|})&limit=7000",11
Bullous pemphigoid (disorder),77090002,402436004,Eosinophilic spongiosis (prebullous pemphigoid) (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 339008|Blister (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|})&limit=7000",2
Membranous glomerulonephritis (disorder),77182004,28191000119109,Chronic nephritic syndrome with membranous glomerulonephritis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<68288006|Glomerulus structure (body structure)|,116676008|Associated morphology (attribute)| = 11224003|Chronic membranous inflammation (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",12
Pityriasis rosea (disorder),77252004,10629311000119107,Psoriatic arthritis mutilans (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 1806006|Eruption (morphologic abnormality)|})&limit=7000",208
Angiography (procedure),77343006,16631961000119101,Endovascular insertion of inferior vena cava filter using imaging guidance (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = <<360037004|Imaging - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<59820001|Blood vessel structure (body structure)|})&limit=7000",1350
Infection caused by Trypanosoma cruzi (disorder),77506005,871587002,Myocarditis due to Chaga disease (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 88274000|Trypanosoma cruzi (organism)|})&limit=7000",17
Candidiasis (disorder),78048006,110091000119107,Candidiasis of vagina in pregnancy (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 3265006|Genus Candida (organism)|})&limit=7000",107
Allergy to cow's milk protein (finding),782555009,782555009,Allergy to cow's milk protein (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 264295007|Cow's milk protein (substance)|})&limit=7000",1
